iter	Passed	Remaining
457	821	971
458	822	969
459	823	966
460	824	964
461	826	962
462	827	959
463	829	957
464	830	955
465	831	952
466	832	950
467	834	948
468	835	945
469	836	943
470	837	941
471	839	938
472	840	936
473	841	933
474	842	931
475	844	929
476	845	926
477	846	924
478	848	922
479	849	920
480	850	918
481	852	915
482	853	913
483	854	911
484	856	909
485	857	906
486	858	904
487	859	902
488	861	900
489	862	898
490	864	895
491	865	893
492	866	891
493	868	889
494	869	887
495	870	884
496	872	882
497	873	880
498	874	878
499	875	875
500	877	873
501	878	871
502	879	869
503	880	866
504	882	864
505	884	863
506	885	861
507	887	859
508	888	857
509	890	855
510	891	852
511	892	850
512	893	848
513	894	846
514	896	843
515	897	841
516	898	839
517	899	837
518	901	835
519	902	833
520	903	830
521	904	828
522	906	826
523	907	824
524	908	822
525	909	819
526	911	817
527	912	815
528	913	813
529	914	811
530	916	809
531	917	806
532	918	804
533	919	802
534	920	800
535	922	798
536	923	796
537	924	793
538	925	791
539	926	789
540	928	787
541	929	785
542	930	783
543	932	781
544	933	779
545	934	777
546	935	775
547	937	772
548	938	770
549	939	768
550	940	766
551	942	764
552	943	762
553	944	760
554	946	758
555	947	756
556	948	754
557	950	752
558	951	750
559	952	748
560	954	746
561	955	744
562	956	742
563	958	740
564	959	738
565	960	736
566	961	734
567	963	732
568	964	730
569	965	728
570	966	726
571	968	724
572	969	722
573	970	720
574	972	718
575	973	716
576	974	714
577	976	712
578	977	710
579	978	708
580	979	706
581	980	704
582	982	702
583	983	700
584	984	698
585	985	696
586	987	694
587	988	692
588	989	690
589	990	688
590	991	686
591	993	684
592	994	682
593	995	680
594	997	678
595	998	676
596	999	674
597	1001	673
598	1002	671
599	1004	669
600	1005	667
601	1007	665
602	1008	663
603	1009	661
604	1010	660
605	1012	658
606	1013	656
607	1014	654
608	1016	652
609	1017	650
610	1018	648
611	1020	646
612	1021	644
613	1022	642
614	1023	640
615	1025	639
616	1026	637
617	1028	635
618	1029	633
619	1030	631
620	1032	629
621	1033	627
622	1034	626
623	1035	624
624	1037	622
625	1038	620
626	1039	618
627	1041	616
628	1042	614
629	1043	613
630	1045	611
631	1046	609
632	1047	607
633	1048	605
634	1050	603
635	1051	601
636	1052	599
637	1054	598
638	1055	596
639	1056	594
640	1057	592
641	1059	590
642	1060	588
643	1061	587
644	1063	585
645	1064	583
646	1065	581
647	1067	579
648	1068	578
649	1070	576
650	1071	574
651	1072	572
652	1073	570
653	1075	568
654	1076	566
655	1077	565
656	1078	563
657	1080	561
658	1081	559
659	1083	557
660	1084	556
661	1085	554
662	1086	552
663	1088	550
664	1089	548
665	1090	547
666	1092	545
667	1093	543
668	1095	541
669	1096	540
670	1097	538
671	1099	536
672	1100	534
673	1101	532
674	1103	531
675	1104	529
676	1105	527
677	1107	525
678	1108	523
679	1109	522
680	1112	520
681	1113	519
682	1114	517
683	1115	515
684	1117	513
685	1118	511
686	1119	510
687	1120	508
688	1122	506
689	1123	504
690	1124	502
691	1125	501
692	1127	499
693	1128	497
694	1129	495
695	1130	493
696	1131	492
697	1133	490
698	1134	488
699	1135	486
700	1136	484
701	1138	483
702	1139	481
703	1140	479
704	1141	477
705	1143	476
706	1144	474
707	1145	472
708	1147	470
709	1148	469
710	1149	467
711	1150	465
712	1152	463
713	1153	461
714	1154	460
715	1155	458
716	1156	456
717	1158	454
718	1159	453
719	1160	451
720	1161	449
721	1162	447
722	1164	446
723	1165	444
724	1166	442
725	1168	440
